precision,recall,f1-score,support,dataset,model,class
1.0,1.0,1.0,150.0,NEU-DET,resnet50,crazing
0.995475113122172,1.0,0.9977324263038548,220.0,NEU-DET,resnet50,inclusion
1.0,0.9948717948717948,0.9974293059125964,195.0,NEU-DET,resnet50,patches
1.0,1.0,1.0,106.0,NEU-DET,resnet50,pitted_surface
1.0,1.0,1.0,134.0,NEU-DET,resnet50,rolled_in_scale
0.9987577639751553,0.9987577639751553,0.9987577639751553,0.9987577639751553,NEU-DET,resnet50,accuracy
0.9990950226244344,0.9989743589743588,0.9990323464432904,805.0,NEU-DET,resnet50,macro avg
0.9987633849526432,0.9987577639751553,0.9987575757016204,805.0,NEU-DET,resnet50,weighted avg
0.9866666666666668,0.9866666666666668,0.9866666666666668,150.0,NEU-DET,efficientnet_b0,crazing
0.9907834101382488,0.9772727272727272,0.9839816933638444,220.0,NEU-DET,efficientnet_b0,inclusion
0.9846153846153848,0.9846153846153848,0.9846153846153848,195.0,NEU-DET,efficientnet_b0,patches
0.9814814814814816,1.0,0.9906542056074766,106.0,NEU-DET,efficientnet_b0,pitted_surface
0.9777777777777776,0.9850746268656716,0.9814126394052044,134.0,NEU-DET,efficientnet_b0,rolled_in_scale
0.9850931677018634,0.9850931677018634,0.9850931677018634,0.9850931677018634,NEU-DET,efficientnet_b0,accuracy
0.9842649441359118,0.98672588108409,0.9854661179317152,805.0,NEU-DET,efficientnet_b0,macro avg
0.9851324341486636,0.9850931677018634,0.9850864745524668,805.0,NEU-DET,efficientnet_b0,weighted avg
1.0,0.98,0.98989898989899,150.0,NEU-DET,mobilenet_v3_large,crazing
0.9953703703703703,0.9772727272727272,0.9862385321100916,220.0,NEU-DET,mobilenet_v3_large,inclusion
0.9896907216494846,0.9846153846153848,0.987146529562982,195.0,NEU-DET,mobilenet_v3_large,patches
0.9464285714285714,1.0,0.9724770642201837,106.0,NEU-DET,mobilenet_v3_large,pitted_surface
0.9852941176470588,1.0,0.9925925925925926,134.0,NEU-DET,mobilenet_v3_large,rolled_in_scale
0.986335403726708,0.986335403726708,0.986335403726708,0.986335403726708,NEU-DET,mobilenet_v3_large,accuracy
0.983356756219097,0.9883776223776224,0.985670741676968,805.0,NEU-DET,mobilenet_v3_large,macro avg
0.9867354193034352,0.986335403726708,0.986386180159748,805.0,NEU-DET,mobilenet_v3_large,weighted avg
0.9895833333333334,0.9693877551020408,0.979381443298969,98.0,DAGM,resnet50,defective
0.9955223880597016,0.998502994011976,0.9970104633781764,668.0,DAGM,resnet50,non_defective
0.9947780678851176,0.9947780678851176,0.9947780678851176,0.9947780678851176,DAGM,resnet50,accuracy
0.9925528606965176,0.9839453745570084,0.9881959533385728,766.0,DAGM,resnet50,macro avg
0.9947625612148135,0.9947780678851176,0.9947550534985912,766.0,DAGM,resnet50,weighted avg
0.477124183006536,0.7448979591836735,0.5816733067729084,98.0,DAGM,efficientnet_b0,defective
0.9592169657422512,0.8802395209580839,0.918032786885246,668.0,DAGM,efficientnet_b0,non_defective
0.8629242819843342,0.8629242819843342,0.8629242819843342,0.8629242819843342,DAGM,efficientnet_b0,accuracy
0.7181705743743936,0.8125687400708788,0.7498530468290772,766.0,DAGM,efficientnet_b0,macro avg
0.8975392990214939,0.8629242819843342,0.8749998507873229,766.0,DAGM,efficientnet_b0,weighted avg
0.8804347826086957,0.826530612244898,0.8526315789473684,98.0,DAGM,mobilenet_v3_large,defective
0.9747774480712166,0.9835329341317364,0.9791356184798808,668.0,DAGM,mobilenet_v3_large,non_defective
0.9634464751958224,0.9634464751958224,0.9634464751958224,0.9634464751958224,DAGM,mobilenet_v3_large,accuracy
0.9276061153399562,0.9050317731883172,0.9158835987136246,766.0,DAGM,mobilenet_v3_large,macro avg
0.9627074987039488,0.9634464751958224,0.9629510285657994,766.0,DAGM,mobilenet_v3_large,weighted avg
0.8125,0.9629629629629628,0.8813559322033898,54.0,KSDD2,resnet50,defective
0.9954233409610984,0.9731543624161074,0.9841628959276018,447.0,KSDD2,resnet50,non_defective
0.9720558882235528,0.9720558882235528,0.9720558882235528,0.9720558882235528,KSDD2,resnet50,accuracy
0.9039616704805492,0.9680586626895352,0.9327594140654958,501.0,KSDD2,resnet50,macro avg
0.9757070527137944,0.9720558882235528,0.973081905825591,501.0,KSDD2,resnet50,weighted avg
0.6024096385542169,0.925925925925926,0.7299270072992701,54.0,KSDD2,efficientnet_b0,defective
0.9904306220095692,0.9261744966442952,0.9572254335260116,447.0,KSDD2,efficientnet_b0,non_defective
0.9261477045908184,0.9261477045908184,0.9261477045908184,0.9261477045908184,KSDD2,efficientnet_b0,accuracy
0.7964201302818932,0.9260502112851106,0.8435762204126408,501.0,KSDD2,efficientnet_b0,macro avg
0.9486080010383338,0.9261477045908184,0.932726201956662,501.0,KSDD2,efficientnet_b0,weighted avg
0.6419753086419753,0.9629629629629628,0.7703703703703704,54.0,KSDD2,mobilenet_v3_large,defective
0.9952380952380953,0.9351230425055927,0.9642445213379468,447.0,KSDD2,mobilenet_v3_large,non_defective
0.93812375249501,0.93812375249501,0.93812375249501,0.93812375249501,KSDD2,mobilenet_v3_large,accuracy
0.8186067019400353,0.949043002734278,0.8673074458541586,501.0,KSDD2,mobilenet_v3_large,macro avg
0.9571618667427052,0.93812375249501,0.9433479062635974,501.0,KSDD2,mobilenet_v3_large,weighted avg
