accuracy,f1_macro,num_samples,status,dataset,model,format,eval_s
0.9988,0.999,805,ok,NEU-DET,resnet50,pytorch,73.4
0.9988,0.999,805,ok,NEU-DET,resnet50,onnx_fp32,106.6
0.9615,0.9595,805,ok,NEU-DET,resnet50,onnx_int8,321.0
0.9988,0.999,805,ok,NEU-DET,resnet50,tflite_fp32,150.6
0.9963,0.9964,805,ok,NEU-DET,resnet50,tflite_int8,39.3
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,pytorch,24.6
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,onnx_fp32,101.0
0.2422,0.1452,805,ok,NEU-DET,efficientnet_b0,onnx_int8,110.8
0.9851,0.9855,805,ok,NEU-DET,efficientnet_b0,tflite_fp32,26.9
0.9764,0.9755,805,ok,NEU-DET,efficientnet_b0,tflite_int8,76.0
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,pytorch,17.3
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,onnx_fp32,8.3
0.8273,0.8139,805,ok,NEU-DET,mobilenet_v3_large,onnx_int8,178.1
0.9863,0.9857,805,ok,NEU-DET,mobilenet_v3_large,tflite_fp32,14.1
0.9801,0.9798,805,ok,NEU-DET,mobilenet_v3_large,tflite_int8,35.7
0.9948,0.9882,766,ok,DAGM,resnet50,pytorch,72.0
0.9948,0.9882,766,ok,DAGM,resnet50,onnx_fp32,41.1
0.9869,0.9702,766,ok,DAGM,resnet50,onnx_int8,311.0
0.9948,0.9882,766,ok,DAGM,resnet50,tflite_fp32,143.2
0.9935,0.9853,766,ok,DAGM,resnet50,tflite_int8,40.7
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,pytorch,27.3
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,onnx_fp32,14.8
0.5183,0.4344,766,ok,DAGM,efficientnet_b0,onnx_int8,99.0
0.8629,0.7499,766,ok,DAGM,efficientnet_b0,tflite_fp32,30.6
0.8381,0.7212,766,ok,DAGM,efficientnet_b0,tflite_int8,77.4
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,pytorch,20.2
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,onnx_fp32,83.6
0.9608,0.9027,766,ok,DAGM,mobilenet_v3_large,onnx_int8,72.5
0.9634,0.9159,766,ok,DAGM,mobilenet_v3_large,tflite_fp32,16.7
0.9634,0.9166,766,ok,DAGM,mobilenet_v3_large,tflite_int8,38.9
0.9721,0.9328,501,ok,KSDD2,resnet50,pytorch,52.4
0.9721,0.9328,501,ok,KSDD2,resnet50,onnx_fp32,32.2
0.9701,0.9228,501,ok,KSDD2,resnet50,onnx_int8,305.8
0.9721,0.9328,501,ok,KSDD2,resnet50,tflite_fp32,137.4
0.9681,0.9232,501,ok,KSDD2,resnet50,tflite_int8,53.5
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,pytorch,32.0
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,onnx_fp32,43.5
0.8922,0.5213,501,ok,KSDD2,efficientnet_b0,onnx_int8,147.8
0.9261,0.8436,501,ok,KSDD2,efficientnet_b0,tflite_fp32,35.1
0.9341,0.8512,501,ok,KSDD2,efficientnet_b0,tflite_int8,99.1
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,pytorch,25.3
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,onnx_fp32,14.3
0.9541,0.8903,501,ok,KSDD2,mobilenet_v3_large,onnx_int8,125.4
0.9381,0.8673,501,ok,KSDD2,mobilenet_v3_large,tflite_fp32,19.9
0.9381,0.8639,501,ok,KSDD2,mobilenet_v3_large,tflite_int8,51.9
