dataset,model,format,model_path,eval_time_s,map50,map50_95,precision,recall,f1,status
DAGM,yolov8n,pytorch,models\yolo\full\DAGM_yolov8n_best.pt,82.2,0.995,0.6567,0.9899,1.0,0.9949,ok
DAGM,yolov8s,pytorch,models\yolo\full\DAGM_yolov8s_best.pt,176.2,0.9932,0.6244,0.986,0.9898,0.9879,ok
KSDD2,yolov8n,pytorch,models\yolo\full\KSDD2_yolov8n_best.pt,25.7,0.3274,0.1814,0.4099,0.625,0.4951,ok
KSDD2,yolov8s,pytorch,models\yolo\full\KSDD2_yolov8s_best.pt,56.6,0.2604,0.1512,0.3333,0.5625,0.4186,ok
NEU-DET,yolov8n,pytorch,models\yolo\full\NEU-DET_yolov8n_best.pt,23.7,0.7148,0.4268,0.7459,0.6795,0.7112,ok
NEU-DET,yolov8s,pytorch,models\yolo\full\NEU-DET_yolov8s_best.pt,52.8,0.7153,0.4302,0.7065,0.68,0.693,ok
DAGM,yolov8n,onnx,models\yolo\onnx\DAGM_yolov8n.onnx,68.1,0.995,0.6567,0.9899,1.0,0.9949,ok
DAGM,yolov8s,onnx,models\yolo\onnx\DAGM_yolov8s.onnx,143.5,0.9932,0.6244,0.986,0.9898,0.9879,ok
KSDD2,yolov8n,onnx,models\yolo\onnx\KSDD2_yolov8n.onnx,21.7,0.3274,0.1814,0.4099,0.625,0.4951,ok
KSDD2,yolov8s,onnx,models\yolo\onnx\KSDD2_yolov8s.onnx,47.1,0.2604,0.1512,0.3333,0.5625,0.4186,ok
NEU-DET,yolov8n,onnx,models\yolo\onnx\NEU-DET_yolov8n.onnx,19.8,0.7148,0.4268,0.7459,0.6795,0.7112,ok
NEU-DET,yolov8s,onnx,models\yolo\onnx\NEU-DET_yolov8s.onnx,44.2,0.7153,0.4302,0.7065,0.68,0.693,ok
DAGM,int8,onnx_int8,models\yolo\quantized\DAGM_yolov8n_int8.onnx,366.7,0.995,0.637,0.9899,1.0,0.9949,ok
DAGM,int8,onnx_int8,models\yolo\quantized\DAGM_yolov8s_int8.onnx,1118.1,0.9813,0.5977,0.9768,0.9796,0.9782,ok
KSDD2,int8,onnx_int8,models\yolo\quantized\KSDD2_yolov8n_int8.onnx,109.5,0.3298,0.1819,0.4149,0.625,0.4987,ok
KSDD2,int8,onnx_int8,models\yolo\quantized\KSDD2_yolov8s_int8.onnx,335.8,0.2578,0.1498,0.3214,0.5625,0.4091,ok
NEU-DET,yolov8n,onnx_int8,models\yolo\quantized\NEU-DET_yolov8n_int8.onnx,104.4,0.6235,0.3645,0.7012,0.5357,0.6074,ok
NEU-DET,yolov8s,onnx_int8,models\yolo\quantized\NEU-DET_yolov8s_int8.onnx,324.0,0.6263,0.3442,0.6269,0.5656,0.5947,ok
DAGM,yolov8n,tflite,models\yolo\tflite\DAGM_yolov8n.tflite,144.6,0.0,0.0,0.0,0.0,0.0,ok
DAGM,yolov8s,tflite,models\yolo\tflite\DAGM_yolov8s.tflite,139.0,0.0,0.0,0.0,0.0,0.0,ok
KSDD2,yolov8n,tflite,models\yolo\tflite\KSDD2_yolov8n.tflite,45.5,0.0,0.0,0.0,0.0,0.0,ok
KSDD2,yolov8s,tflite,models\yolo\tflite\KSDD2_yolov8s.tflite,52.3,0.0,0.0,0.0,0.0,0.0,ok
NEU-DET,yolov8n,tflite,models\yolo\tflite\NEU-DET_yolov8n.tflite,47.1,0.6813,0.4074,0.7005,0.6579,0.6785,ok
NEU-DET,yolov8s,tflite,models\yolo\tflite\NEU-DET_yolov8s.tflite,51.3,0.6813,0.4074,0.7005,0.6579,0.6785,ok
